Setting Voltage,INA VBUS Reading,INA Shunt Current,Error,% error
8.5,8.466,0.032,0.034,0%
8.6,8.537,0.034,0.063,1%
8.7,8.676,0.034,0.024,0%
8.8,8.754,0.034,0.046,1%
8.9,8.822,0.032,0.078,1%
9,8.967,0.032,0.033,0%
9.1,9.037,0.034,0.063,1%
9.2,9.177,0.032,0.023,0%
9.3,9.249,0.034,0.051,1%
9.4,9.317,0.032,0.083,1%
9.5,9.459,0.034,0.041,0%
9.6,9.531,0.031,0.069,1%
9.7,9.671,0.034,0.029,0%
9.8,9.745,0.032,0.055,1%
9.9,9.812,0.032,0.088,1%
10,9.956,0.034,0.044,0%
10.1,10.026,0.032,0.074,1%
10.2,10.166,0.035,0.034,0%
10.3,10.237,0.032,0.063,1%
10.4,10.31,0.032,0.09,1%
10.5,10.415,0.032,0.085,1%
10.6,10.522,0.032,0.078,1%
10.7,10.629,0.034,0.071,1%
10.8,10.7,0.032,0.1,1%
10.9,10.806,0.034,0.094,1%
11,10.912,0.034,0.088,1%
11.1,11.021,0.034,0.079,1%
11.2,11.126,0.032,0.074,1%
11.3,11.196,0.032,0.104,1%
11.4,11.302,0.032,0.098,1%
11.5,11.41,0.032,0.09,1%
11.6,11.512,0.032,0.088,1%
11.7,11.62,0.034,0.08,1%
11.8,11.692,0.034,0.108,1%
11.9,11.797,0.034,0.103,1%
12,11.904,0.034,0.096,1%
12.1,12.014,0.032,0.086,1%
12.2,12.082,0.032,0.118,1%
12.3,12.191,0.029,0.109,1%
12.4,12.297,0.032,0.103,1%
12.5,12.402,0.032,0.098,1%
12.6,12.509,0.031,0.091,1%
12.7,12.58,0.032,0.12,1%
12.8,12.685,0.034,0.115,1%
12.9,12.792,0.032,0.108,1%
13,12.899,0.034,0.101,1%
13.1,13.007,0.032,0.093,1%
13.2,13.079,0.034,0.121,1%
13.3,13.184,0.032,0.116,1%
13.4,13.29,0.032,0.11,1%
13.5,13.397,0.032,0.103,1%
13.6,13.467,0.034,0.133,1%
13.7,13.574,0.034,0.126,1%
13.8,13.679,0.031,0.121,1%
13.9,13.784,0.034,0.116,1%
14,13.89,0.032,0.11,1%
14.1,13.962,0.032,0.138,1%
14.2,14.07,0.034,0.13,1%
14.3,14.175,0.032,0.125,1%
14.4,14.281,0.032,0.119,1%
14.5,14.386,0.032,0.114,1%
14.6,14.456,0.032,0.144,1%
14.7,14.562,0.031,0.138,1%
14.8,14.669,0.032,0.131,1%
14.9,14.775,0.032,0.125,1%
15,14.846,0.031,0.154,1%
15.1,14.951,0.034,0.149,1%
15.2,15.056,0.031,0.144,1%
15.3,15.162,0.032,0.138,1%
15.4,15.271,0.031,0.129,1%
15.5,15.341,0.032,0.159,1%
15.6,15.447,0.034,0.153,1%
15.7,15.555,0.034,0.145,1%
15.8,15.66,0.031,0.14,1%
15.9,15.74,0.032,0.16,1%
16,15.837,0.032,0.163,1%
16.1,15.944,0.032,0.156,1%
16.2,16.05,0.032,0.15,1%
16.3,16.131,0.032,0.169,1%
16.4,16.227,0.032,0.173,1%
16.5,16.335,0.032,0.165,1%
16.6,16.441,0.031,0.159,1%
16.7,16.521,0.034,0.179,1%
16.8,16.63,0.034,0.17,1%
16.9,16.72,0.034,0.18,1%
17,16.827,0.032,0.173,1%
17.1,16.935,0.031,0.165,1%
17.2,17.021,0.031,0.179,1%
17.3,17.128,0.032,0.172,1%
17.4,17.217,0.032,0.183,1%
17.5,17.325,0.034,0.175,1%
17.6,17.416,0.032,0.184,1%
17.7,17.503,0.032,0.197,1%
17.8,17.589,0.034,0.211,1%
17.9,17.691,0.035,0.209,1%
