INA VBUS Reading,Setting Voltage,Error,predicted setpoint,,,,,,
1967,1990,23,1967.073879,22.92612109,,,,,
1977,2000,23,1977.228144,22.77185599,,,,,
1984,2010,26,1984.33613,25.66387042,,,,,
1996,2020,24,1996.521248,23.4787523,,,,,
2006,2030,24,2006.675513,23.3244872,,,,,
2016,2040,24,2016.829778,23.1702221,,,,,
2024,2050,26,2024.95319,25.04681002,,,,,
2034,2060,26,2035.107455,24.89254492,,,,,
2045,2070,25,2046.277147,23.72285331,,,,,
2055,2080,25,2056.431412,23.56858821,,,,,
2064,2090,26,2065.57025,24.42974962,,,,,
2071,2100,29,2072.678236,27.32176405,,,,,
2084,2110,26,2085.878781,24.12121942,,,,,
2094,2120,26,2096.033046,23.96695432,,,,,
2104,2130,26,2106.187311,23.81268922,,,,,
2112,2140,28,2114.310723,25.68927714,,,,,
2125,2150,25,2127.511267,22.48873251,,,,,
2135,2160,25,2137.665533,22.33446741,,,,,
2142,2170,28,2144.773518,25.22648184,,,,,
2152,2180,28,2154.927783,25.07221674,,,,,
2161,2190,29,2164.066622,25.93337815,,,,,
2175,2200,25,2178.282593,21.71740701,,,,,
2184,2210,26,2187.421432,22.57856842,,,,,
2192,2220,28,2195.544844,24.45515634,,,,,
2201,2230,29,2204.683682,25.31631775,,,,,
2216,2240,24,2219.91508,20.0849201,,,,,
2225,2250,25,2229.053918,20.94608151,,,,,
2232,2260,28,2236.161904,23.83809594,,,,,
2243,2270,27,2247.331596,22.66840433,,,,,
2256,2280,24,2260.53214,19.4678597,,,,,
2264,2290,26,2268.655552,21.34444762,,,,,
2273,2300,27,2277.794391,22.20560903,,,,,
2280,2310,30,2284.902377,25.09762346,,,,,
2291,2320,29,2296.072068,23.92793185,,,,,
2304,2330,26,2309.272613,20.72738722,,,,,
2312,2340,28,2317.396025,22.60397514,,,,,
2331,2350,19,2336.689129,13.31087145,,,,,
2340,2360,20,2345.827967,14.17203286,,,,,
2354,2370,16,2360.043938,9.95606172,,,,,
2364,2380,16,2370.198203,9.80179662,,,,,
2372,2390,18,2378.321615,11.67838454,,,,,
2382,2400,18,2388.475881,11.52411944,,,,,
2391,2410,19,2397.614719,12.38528085,,,,,
2394,2420,26,2400.660999,19.33900132,,,,,
2404,2430,26,2410.815264,19.18473622,,,,,
2411,2440,29,2417.923249,22.07675065,,,,,
2421,2450,29,2428.077514,21.92248555,,,,,
2434,2460,26,2441.278059,18.72194092,,,,,
2441,2470,29,2448.386045,21.61395535,,,,,
2451,2480,29,2458.54031,21.45969025,,,,,
2460,2490,30,2467.679148,22.32085166,,,,,
2474,2500,26,2481.895119,18.10488052,,,,,
2482,2510,28,2490.018532,19.98146844,,,,,
2490,2520,30,2498.141944,21.85805636,,,,,
2499,2530,31,2507.280782,22.71921777,,,,,
2506,2540,34,2514.388768,25.6112322,,,,,
2523,2550,27,2531.651018,18.34898153,,,,,
2531,2560,29,2539.774431,20.22556945,,,,,
2540,2570,30,2548.913269,21.08673086,,,,,
2547,2580,33,2556.021255,23.97874529,,,,,
2561,2590,29,2570.237226,19.76277415,,,,,
2571,2600,29,2580.391491,19.60850905,,,,,
2579,2610,31,2588.514903,21.48509697,,,,,
2587,2620,33,2596.638315,23.36168489,,,,,
2595,2630,35,2604.761727,25.23827281,,,,,
2611,2640,29,2621.008551,18.99144865,,,,,
2617,2650,33,2627.10111,22.89888959,,,,,
2628,2660,32,2638.270802,21.72919798,,,,,
2635,2670,35,2645.378788,24.62121241,,,,,
2650,2680,30,2660.610185,19.38981476,,,,,
2659,2690,31,2669.749024,20.25097617,,,,,
2669,2700,31,2679.903289,20.09671107,,,,,
2676,2710,34,2687.011275,22.9887255,,,,,
2691,2720,29,2702.242672,17.75732785,,,,,
2699,2730,31,2710.366084,19.63391577,,,,,
2709,2740,31,2720.520349,19.47965067,,,,,
2717,2750,33,2728.643761,21.35623859,,,,,
2727,2760,33,2738.798027,21.20197349,,,,,
2739,2770,31,2750.983145,19.01685537,,,,,
2747,2780,33,2759.106557,20.89344329,,,,,
2757,2790,33,2769.260822,20.73917819,,,,,
2766,2800,34,2778.39966,21.6003396,,,,,
2780,2810,30,2792.615632,17.38436846,,,,,
2790,2820,30,2802.769897,17.23010336,,,,,
2797,2830,33,2809.877882,20.12211779,,,,,
2806,2840,34,2819.016721,20.9832792,,,,,
2821,2850,29,2834.248118,15.75188155,,,,,
2830,2860,30,2843.386957,16.61304296,,,,,
2845,2870,25,2858.618355,11.38164531,,,,,
2850,2880,30,2863.695487,16.30451276,,,,,
2866,2890,24,2879.942311,10.0576886,,,,,
2881,2900,19,2895.173709,4.82629095,,,,,
2890,2910,20,2904.312548,5.68745236,,,,,
2900,2920,20,2914.466813,5.53318726,,,,,
2909,2930,21,2923.605651,6.39434867,,,,,
2922,2940,18,2936.806196,3.19380404,,,,,
2934,2950,16,2948.991314,1.00868592,,,,,
2941,2960,19,2956.0993,3.90070035,,,,,
2951,2970,19,2966.253565,3.74643525,,,,,
2960,2980,20,2975.392403,4.60759666,,,,,
2974,2990,16,2989.608374,0.39162552,,,,,
2981,3000,19,2996.71636,3.28363995,,,,,
2990,3010,20,3005.855199,4.14480136,,,,,
3000,3020,20,3016.009464,3.99053626,,,,,
3013,3030,17,3029.210008,0.78999163,,,,,
3020,3040,20,3036.317994,3.68200606,,,,,
3030,3050,20,3046.472259,3.52774096,,,,,
3039,3060,21,3055.611098,4.38890237,,,,,
3050,3070,20,3066.780789,3.21921076,,,,,
3060,3080,20,3076.935054,3.06494566,,,,,
3067,3090,23,3084.04304,5.95696009,,,,,
3076,3100,24,3093.181879,6.8181215,,,,,
3086,3110,24,3103.336144,6.6638564,,,,,
3099,3120,21,3116.536688,3.46331177,,,,,
3106,3130,24,3123.644674,6.3553262,,,,,
3115,3140,25,3132.783512,7.21648761,,,,,
3124,3150,26,3141.922351,8.07764902,,,,,
3136,3160,24,3154.107469,5.8925309,,,,,
3145,3170,25,3163.246308,6.75369231,,,,,
3152,3180,28,3170.354293,9.64570674,,,,,
3162,3190,28,3180.508558,9.49144164,,,,,
3175,3200,25,3193.709103,6.29089701,,,,,
3184,3210,26,3202.847942,7.15205842,,,,,
3192,3220,28,3210.971354,9.02864634,,,,,
3201,3230,29,3220.110192,9.88980775,,,,,
3209,3240,31,3228.233604,11.76639567,,,,,
3222,3250,28,3241.434149,8.56585104,,,,,
3231,3260,29,3250.572988,9.42701245,,,,,
3240,3270,30,3259.711826,10.28817386,,,,,
3249,3280,31,3268.850665,11.14933527,,,,,
3262,3290,28,3282.051209,7.94879064,,,,,
3271,3300,29,3291.190048,8.80995205,,,,,
3280,3310,30,3300.328887,9.67111346,,,,,
3289,3320,31,3309.467725,10.53227487,,,,,
3299,3330,31,3319.62199,10.37800977,,,,,
3311,3340,29,3331.807108,8.19289165,,,,,
3320,3350,30,3340.945947,9.05405306,,,,,
3329,3360,31,3350.084786,9.91521447,,,,,
3337,3370,33,3358.208198,11.79180239,,,,,
3351,3380,29,3372.424169,7.57583125,,,,,
3359,3390,31,3380.547581,9.45241917,,,,,
3367,3400,33,3388.670993,11.32900709,,,,,
3377,3410,33,3398.825258,11.17474199,,,,,
3390,3420,30,3412.025803,7.97419736,,,,,
3399,3430,31,3421.164641,8.83535877,,,,,
3407,3440,33,3429.288053,10.71194669,,,,,
3416,3450,34,3438.426892,11.5731081,,,,,
3426,3460,34,3448.581157,11.418843,,,,,
3439,3470,31,3461.781702,8.21829837,,,,,
3447,3480,33,3469.905114,10.09488629,,,,,
3456,3490,34,3479.043952,10.9560477,,,,,
3466,3500,34,3489.198217,10.8017826,,,,,
3479,3510,31,3502.398762,7.60123797,,,,,
3487,3520,33,3510.522174,9.47782589,,,,,
3496,3530,34,3519.661013,10.3389873,,,,,
3504,3540,36,3527.784425,12.21557522,,,,,
3514,3550,36,3537.93869,12.06131012,,,,,
3527,3560,33,3551.139235,8.86076549,,,,,
3536,3570,34,3560.278073,9.7219269,,,,,
3545,3580,35,3569.416912,10.58308831,,,,,
3554,3590,36,3578.55575,11.44424972,,,,,
3567,3600,33,3591.756295,8.24370509,,,,,
3576,3610,34,3600.895134,9.1048665,,,,,
3586,3620,34,3611.049399,8.9506014,,,,,
3594,3630,36,3619.172811,10.82718932,,,,,
3609,3640,31,3634.404208,5.59579167,,,,,
3616,3650,34,3641.512194,8.4878061,,,,,
3626,3660,34,3651.666459,8.333541,,,,,
3635,3670,35,3660.805298,9.19470241,,,,,
3645,3680,35,3670.959563,9.04043731,,,,,
3659,3690,31,3685.175534,4.82446617,,,,,
3667,3700,33,3693.298946,6.70105409,,,,,
3676,3710,34,3702.437785,7.5622155,,,,,
3685,3720,35,3711.576623,8.42337691,,,,,
3699,3730,31,3725.792594,4.20740577,,,,,
3707,3740,33,3733.916006,6.08399369,,,,,
3716,3750,34,3743.054845,6.9451551,,,,,
3727,3760,33,3754.224537,5.77546349,,,,,
3740,3770,30,3767.425081,2.57491886,,,,,
3749,3780,31,3776.56392,3.43608027,,,,,
3759,3790,31,3786.718185,3.28181517,,,,,
3766,3800,34,3793.82617,6.1738296,,,,,
3776,3810,34,3803.980436,6.0195645,,,,,
3790,3820,30,3818.196407,1.80359336,,,,,
3800,3830,30,3828.350672,1.64932826,,,,,
3809,3840,31,3837.48951,2.51048967,,,,,
3817,3850,33,3845.612922,4.38707759,,,,,
3831,3860,29,3859.828894,0.17110645,,,,,
3841,3870,29,3869.983159,0.01684135,,,,,
3850,3880,30,3879.121997,0.87800276,,,,,
3857,3890,33,3886.229983,3.77001719,,,,,
3867,3900,33,3896.384248,3.61575209,,,,,
3881,3910,29,3910.600219,-0.60021905,,,,,
3889,3920,31,3918.723631,1.27636887,,,,,
3900,3930,30,3929.893323,0.10667726,,,,,
3906,3940,34,3935.985882,4.0141182,,,,,
3921,3950,29,3951.217279,-1.21727945,,,,,
3930,3960,30,3960.356118,-0.35611804,,,,,
3939,3970,31,3969.494957,0.50504337,,,,,
3949,3980,31,3979.649222,0.35077827,,,,,
3961,3990,29,3991.83434,-1.83433985,,,,,
3970,4000,30,4000.973178,-0.97317844,,,,,
3979,4010,31,4010.112017,-0.11201703,,,,,
3989,4020,31,4020.266282,-0.26628213,,,,,
3997,4030,33,4028.389694,1.61030579,,,,,
4011,4040,29,4042.605665,-2.60566535,,,,,
4020,4050,30,4051.744504,-1.74450394,,,,,
4029,4060,31,4060.883343,-0.88334253,,,,,
4038,4070,32,4070.022181,-0.02218112,,,,,
4050,4080,30,4082.207299,-2.20729924,,,,,
4060,4090,30,4092.361564,-2.36156434,,,,,
4069,4100,31,4101.500403,-1.50040293,,,,,
4078,4110,32,4110.639242,-0.63924152,,,,,
4092,4120,28,4124.855213,-4.85521266,,,,,
4100,4130,30,4132.978625,-2.97862474,,,,,
4109,4140,31,4142.117463,-2.11746333,,,,,
4116,4150,34,4149.225449,0.7745511,,,,,
4128,4160,32,4161.410567,-1.41056702,,,,,
4139,4170,31,4172.580259,-2.58025863,,,,,
4148,4180,32,4181.719097,-1.71909722,,,,,
4156,4190,34,4189.842509,0.1574907,,,,,
4166,4200,34,4199.996774,0.0032256,,,,,
4180,4210,30,4214.212746,-4.21274554,,,,,
4189,4220,31,4223.351584,-3.35158413,,,,,
4197,4230,33,4231.474996,-1.47499621,,,,,
4205,4240,35,4239.598408,0.40159171,,,,,
4215,4250,35,4249.752673,0.24732661,,,,,
4226,4260,34,4260.922365,-0.922365,,,,,
4235,4270,35,4270.061204,-0.06120359,,,,,
4245,4280,35,4280.215469,-0.21546869,,,,,
4251,4290,39,4286.308028,3.69197225,,,,,
4266,4300,34,4301.539425,-1.5394254,,,,,
4275,4310,35,4310.678264,-0.67826399,,,,,
4284,4320,36,4319.817103,0.18289742,,,,,
4291,4330,39,4326.925088,3.07491185,,,,,
4305,4340,35,4341.141059,-1.14105929,,,,,
4314,4350,36,4350.279898,-0.27989788,,,,,
4321,4360,39,4357.387883,2.61211655,,,,,
4331,4370,39,4367.542149,2.45785145,,,,,
4339,4380,41,4375.665561,4.33443937,,,,,
4351,4390,39,4387.850679,2.14932125,,,,,
4359,4400,41,4395.974091,4.02590917,,,,,
4370,4410,40,4407.143782,2.85621756,,,,,
4378,4420,42,4415.267195,4.73280548,,,,,
4391,4430,39,4428.467739,1.53226085,,,,,
4400,4440,40,4437.606578,2.39342226,,,,,
4409,4450,41,4446.745416,3.25458367,,,,,
4418,4460,42,4455.884255,4.11574508,,,,,
4427,4470,43,4465.023094,4.97690649,,,,,
4439,4480,41,4477.208212,2.79178837,,,,,
4449,4490,41,4487.362477,2.63752327,,,,,
4458,4500,42,4496.501315,3.49868468,,,,,
4467,4510,43,4505.640154,4.35984609,,,,,
4480,4520,40,4518.840699,1.15930146,,,,,
4487,4530,43,4525.948684,4.05131589,,,,,
4498,4540,42,4537.118376,2.88162428,,,,,
4506,4550,44,4545.241788,4.7582122,,,,,
4519,4560,41,4558.442332,1.55766757,,,,,
4529,4570,41,4568.596598,1.40340247,,,,,
4538,4580,42,4577.735436,2.26456388,,,,,
4545,4590,45,4584.843422,5.15657831,,,,,
4555,4600,45,4594.997687,5.00231321,,,,,
4569,4610,41,4609.213658,0.78634207,,,,,
4578,4620,42,4618.352497,1.64750348,,,,,
4586,4630,44,4626.475909,3.5240914,,,,,
4595,4640,45,4635.614747,4.38525281,,,,,
4609,4650,41,4649.830718,0.16928167,,,,,
4618,4660,42,4658.969557,1.03044308,,,,,
4628,4670,42,4669.123822,0.87617798,,,,,
4635,4680,45,4676.231808,3.76819241,,,,,
4649,4690,41,4690.447779,-0.44777873,,,,,
4657,4700,43,4698.571191,1.42880919,,,,,
4666,4710,44,4707.710029,2.2899706,,,,,
4675,4720,45,4716.848868,3.15113201,,,,,
4684,4730,46,4725.987707,4.01229342,,,,,
4697,4740,43,4739.188251,0.81174879,,,,,
4705,4750,45,4747.311663,2.68833671,,,,,
4714,4760,46,4756.450502,3.54949812,,,,,
4723,4770,47,4765.58934,4.41065953,,,,,
4736,4780,44,4778.789885,1.2101149,,,,,
4745,4790,45,4787.928724,2.07127631,,,,,
4755,4800,45,4798.082989,1.91701121,,,,,
4763,4810,47,4806.206401,3.79359913,,,,,
4771,4820,49,4814.329813,5.67018705,,,,,
4785,4830,45,4828.545784,1.45421591,,,,,
4794,4840,46,4837.684623,2.31537732,,,,,
4802,4850,48,4845.808035,4.19196524,,,,,
4811,4860,49,4854.946873,5.05312665,,,,,
4824,4870,46,4868.147418,1.85258202,,,,,
4833,4880,47,4877.286257,2.71374343,,,,,
4842,4890,48,4886.425095,3.57490484,,,,,
4850,4900,50,4894.548507,5.45149276,,,,,
4864,4910,46,4908.764478,1.23552162,,,,,
4873,4920,47,4917.903317,2.09668303,,,,,
4881,4930,49,4926.026729,3.97327095,,,,,
4890,4940,50,4935.165568,4.83443236,,,,,
4898,4950,52,4943.28898,6.71102028,,,,,
4911,4960,49,4956.489524,3.51047565,,,,,
4920,4970,50,4965.628363,4.37163706,,,,,
4930,4980,50,4975.782628,4.21737196,,,,,
4939,4990,51,4984.921467,5.07853337,,,,,
4951,5000,49,4997.106585,2.89341525,,,,,
4960,5010,50,5006.245423,3.75457666,,,,,
4970,5020,50,5016.399688,3.60031156,,,,,
4979,5030,51,5025.538527,4.46147297,,,,,
4987,5040,53,5033.661939,6.33806089,,,,,
5001,5050,49,5047.87791,2.12208975,,,,,
5010,5060,50,5057.016749,2.98325116,,,,,
5019,5070,51,5066.155587,3.84441257,,,,,
5027,5080,53,5074.279,5.72100049,,,,,
5041,5090,49,5088.494971,1.50502935,,,,,
5050,5100,50,5097.633809,2.36619076,,,,,
5059,5110,51,5106.772648,3.22735217,,,,,
5068,5120,52,5115.911486,4.08851358,,,,,
5081,5130,49,5129.112031,0.88796895,,,,,
5090,5140,50,5138.25087,1.74913036,,,,,
5099,5150,51,5147.389708,2.61029177,,,,,
5108,5160,52,5156.528547,3.47145318,,,,,
5116,5170,54,5164.651959,5.3480411,,,,,
5130,5180,50,5178.86793,1.13206996,,,,,
5139,5190,51,5188.006769,1.99323137,,,,,
5148,5200,52,5197.145607,2.85439278,,,,,
5157,5210,53,5206.284446,3.71555419,,,,,
5170,5220,50,5219.48499,0.51500956,,,,,
5179,5230,51,5228.623829,1.37617097,,,,,
5188,5240,52,5237.762668,2.23733238,,,,,
5196,5250,54,5245.88608,4.1139203,,,,,
5210,5260,50,5260.102051,-0.10205084,,,,,
5220,5270,50,5270.256316,-0.25631594,,,,,
5229,5280,51,5279.395155,0.60484547,,,,,
5237,5290,53,5287.518567,2.48143339,,,,,
5246,5300,54,5296.657405,3.3425948,,,,,
5259,5310,51,5309.85795,0.14205017,,,,,
5269,5320,51,5320.012215,-0.01221493,,,,,
5277,5330,53,5328.135627,1.86437299,,,,,
5285,5340,55,5336.259039,3.74096091,,,,,
5299,5350,51,5350.47501,-0.47501023,,,,,
5308,5360,52,5359.613849,0.38615118,,,,,
5316,5370,54,5367.737261,2.2627391,,,,,
5325,5380,55,5376.876099,3.12390051,,,,,
5334,5390,56,5386.014938,3.98506192,,,,,
5346,5400,54,5398.200056,1.7999438,,,,,
5355,5410,55,5407.338895,2.66110521,,,,,
5364,5420,56,5416.477733,3.52226662,,,,,
5373,5430,57,5425.616572,4.38342803,,,,,
5386,5440,54,5438.817117,1.1828834,,,,,
5395,5450,55,5447.955955,2.04404481,,,,,
5404,5460,56,5457.094794,2.90520622,,,,,
5413,5470,57,5466.233632,3.76636763,,,,,
5425,5480,55,5478.41875,1.58124951,,,,,
5434,5490,56,5487.557589,2.44241092,,,,,
5443,5500,57,5496.696428,3.30357233,,,,,
5451,5510,59,5504.81984,5.18016025,,,,,
5460,5520,60,5513.958678,6.04132166,,,,,
5474,5530,56,5528.174649,1.82535052,,,,,
5481,5540,59,5535.282635,4.71736495,,,,,
5491,5550,59,5545.4369,4.56309985,,,,,
5499,5560,61,5553.560312,6.43968777,,,,,
5514,5570,56,5568.79171,1.20829012,,,,,
5521,5580,59,5575.899695,4.10030455,,,,,
5531,5590,59,5586.053961,3.94603945,,,,,
5540,5600,60,5595.192799,4.80720086,,,,,
5552,5610,58,5607.377917,2.62208274,,,,,
5561,5620,59,5616.516756,3.48324415,,,,,
5571,5630,59,5626.671021,3.32897905,,,,,
5580,5640,60,5635.80986,4.19014046,,,,,
5589,5650,61,5644.948698,5.05130187,,,,,
5603,5660,57,5659.164669,0.83533073,,,,,
5611,5670,59,5667.288081,2.71191865,,,,,
5620,5680,60,5676.42692,3.57308006,,,,,
5629,5690,61,5685.565759,4.43424147,,,,,
5641,5700,59,5697.750877,2.24912335,,,,,
5650,5710,60,5706.889715,3.11028476,,,,,
5660,5720,60,5717.04398,2.95601966,,,,,
5668,5730,62,5725.167392,4.83260758,,,,,
5677,5740,63,5734.306231,5.69376899,,,,,
5691,5750,59,5748.522202,1.47779785,,,,,
5699,5760,61,5756.645614,3.35438577,,,,,
5708,5770,62,5765.784453,4.21554718,,,,,
5716,5780,64,5773.907865,6.0921351,,,,,
5730,5790,60,5788.123836,1.87616396,,,,,
5740,5800,60,5798.278101,1.72189886,,,,,
5749,5810,61,5807.41694,2.58306027,,,,,
5757,5820,63,5815.540352,4.45964819,,,,,
5770,5830,60,5828.740896,1.25910356,,,,,
5780,5840,60,5838.895162,1.10483846,,,,,
5789,5850,61,5848.034,1.96599987,,,,,
5797,5860,63,5856.157412,3.84258779,,,,,
5808,5870,62,5867.327104,2.67289618,,,,,
5821,5880,59,5880.527648,-0.52764845,,,,,
5830,5890,60,5889.666487,0.33351296,,,,,
5839,5900,61,5898.805326,1.19467437,,,,,
5848,5910,62,5907.944164,2.05583578,,,,,
5861,5920,59,5921.144709,-1.14470885,,,,,
5870,5930,60,5930.283547,-0.28354744,,,,,
5880,5940,60,5940.437813,-0.43781254,,,,,
5889,5950,61,5949.576651,0.42334887,,,,,
5898,5960,62,5958.71549,1.28451028,,,,,
5911,5970,59,5971.916034,-1.91603435,,,,,
5920,5980,60,5981.054873,-1.05487294,,,,,
5929,5990,61,5990.193712,-0.19371153,,,,,
5939,6000,61,6000.347977,-0.34797663,,,,,
5951,6010,59,6012.533095,-2.53309475,,,,,
5961,6020,59,6022.68736,-2.68735985,,,,,
5970,6030,60,6031.826198,-1.82619844,,,,,
5979,6040,61,6040.965037,-0.96503703,,,,,
5994,6050,56,6056.196435,-6.19643468,,,,,
6003,6060,57,6065.335273,-5.33527327,,,,,
6011,6070,59,6073.458685,-3.45868535,,,,,
6020,6080,60,6082.597524,-2.59752394,,,,,
6029,6090,61,6091.736363,-1.73636253,,,,,
6043,6100,57,6105.952334,-5.95233367,,,,,
6051,6110,59,6114.075746,-4.07574575,,,,,
6060,6120,60,6123.214584,-3.21458434,,,,,
6070,6130,60,6133.368849,-3.36884944,,,,,
6084,6140,56,6147.584821,-7.58482058,,,,,
6092,6150,58,6155.708233,-5.70823266,,,,,
6103,6160,57,6166.877924,-6.87792427,,,,,
6110,6170,60,6173.98591,-3.98590984,,,,,
6124,6180,56,6188.201881,-8.20188098,,,,,
6132,6190,58,6196.325293,-6.32529306,,,,,
6143,6200,57,6207.494985,-7.49498467,,,,,
6151,6210,59,6215.618397,-5.61839675,,,,,
6160,6220,60,6224.757235,-4.75723534,,,,,
6174,6230,56,6238.973206,-8.97320648,,,,,
6183,6240,57,6248.112045,-8.11204507,,,,,
6191,6250,59,6256.235457,-6.23545715,,,,,
6200,6260,60,6265.374296,-5.37429574,,,,,
6214,6270,56,6279.590267,-9.59026688,,,,,
6224,6280,56,6289.744532,-9.74453198,,,,,
6231,6290,59,6296.852518,-6.85251755,,,,,
6240,6300,60,6305.991356,-5.99135614,,,,,
6250,6310,60,6316.145621,-6.14562124,,,,,
6264,6320,56,6330.361592,-10.36159238,,,,,
6273,6330,57,6339.500431,-9.50043097,,,,,
6281,6340,59,6347.623843,-7.62384305,,,,,
6290,6350,60,6356.762682,-6.76268164,,,,,
6304,6360,56,6370.978653,-10.97865278,,,,,
6313,6370,57,6380.117491,-10.11749137,,,,,
6321,6380,59,6388.240903,-8.24090345,,,,,
6330,6390,60,6397.379742,-7.37974204,,,,,
6344,6400,56,6411.595713,-11.59571318,,,,,
6353,6410,57,6420.734552,-10.73455177,,,,,
6361,6420,59,6428.857964,-8.85796385,,,,,
6371,6430,59,6439.012229,-9.01222895,,,,,
6379,6440,61,6447.135641,-7.13564103,,,,,
6393,6450,57,6461.351612,-11.35161217,,,,,
6401,6460,59,6469.475024,-9.47502425,,,,,
6410,6470,60,6478.613863,-8.61386284,,,,,
6419,6480,61,6487.752701,-7.75270143,,,,,
6433,6490,57,6501.968673,-11.96867257,,,,,
6440,6500,60,6509.076658,-9.07665814,,,,,
6450,6510,60,6519.230923,-9.23092324,,,,,
6458,6520,62,6527.354335,-7.35433532,,,,,
6471,6530,59,6540.55488,-10.55487995,,,,,
6480,6540,60,6549.693719,-9.69371854,,,,,
6489,6550,61,6558.832557,-8.83255713,,,,,
6498,6560,62,6567.971396,-7.97139572,,,,,
6506,6570,64,6576.094808,-6.0948078,,,,,
6520,6580,60,6590.310779,-10.31077894,,,,,
6529,6590,61,6599.449618,-9.44961753,,,,,
6538,6600,62,6608.588456,-8.58845612,,,,,
6546,6610,64,6616.711868,-6.7118682,,,,,
6559,6620,61,6629.912413,-9.91241283,,,,,
6567,6630,63,6638.035825,-8.03582491,,,,,
6576,6640,64,6647.174664,-7.1746635,,,,,
6585,6650,65,6656.313502,-6.31350209,,,,,
6594,6660,66,6665.452341,-5.45234068,,,,,
6608,6670,62,6679.668312,-9.66831182,,,,,
6616,6680,64,6687.791724,-7.7917239,,,,,
6625,6690,65,6696.930562,-6.93056249,,,,,
6634,6700,66,6706.069401,-6.06940108,,,,,
6648,6710,62,6720.285372,-10.28537222,,,,,
6656,6720,64,6728.408784,-8.4087843,,,,,
6666,6730,64,6738.563049,-8.5630494,,,,,
6675,6740,65,6747.701888,-7.70188799,,,,,
6689,6750,61,6761.917859,-11.91785913,,,,,
6697,6760,63,6770.041271,-10.04127121,,,,,
6706,6770,64,6779.18011,-9.1801098,,,,,
6716,6780,64,6789.334375,-9.3343749,,,,,
6725,6790,65,6798.473213,-8.47321349,,,,,
6739,6800,61,6812.689185,-12.68918463,,,,,
6748,6810,62,6821.828023,-11.82802322,,,,,
6756,6820,64,6829.951435,-9.9514353,,,,,
6765,6830,65,6839.090274,-9.09027389,,,,,
6779,6840,61,6853.306245,-13.30624503,,,,,
6789,6850,61,6863.46051,-13.46051013,,,,,
6797,6860,63,6871.583922,-11.58392221,,,,,
6806,6870,64,6880.722761,-10.7227608,,,,,
6815,6880,65,6889.861599,-9.86159939,,,,,
6829,6890,61,6904.077571,-14.07757053,,,,,
