Setting Voltage,INA VBUS Reading,INA Shunt Current
6.000,5.978,0.002
6.100,6.083,0.000
6.200,6.181,0.002
6.300,6.284,0.000
6.400,6.386,0.002
6.500,6.483,0.002
6.600,6.583,0.000
6.700,6.686,0.000
6.800,6.786,0.002
6.900,6.890,0.000
7.000,6.989,0.002
7.100,7.089,0.000
7.200,7.191,0.002
7.300,7.290,0.002
7.400,7.393,0.002
7.500,7.496,0.002
7.600,7.591,0.002
7.700,7.690,0.002
7.800,7.793,0.002
7.900,7.890,0.002
8.000,7.994,0.002
8.100,8.092,0.002
8.200,8.197,0.000
8.300,8.301,0.002
8.400,8.400,0.002
8.500,8.502,0.000
8.600,8.601,0.000
8.700,8.701,0.002
8.800,8.800,0.002
8.900,8.894,0.002
9.000,8.999,0.002
9.100,9.101,0.002
9.200,9.199,0.002
9.300,9.299,0.002
9.400,9.394,0.000
9.500,9.492,0.000
9.600,9.594,0.002
9.700,9.690,0.002
9.800,9.791,0.002
9.900,9.890,0.002
10.000,9.986,0.002
10.100,10.086,0.000
10.200,10.187,0.002
10.300,10.282,0.002
10.400,10.385,0.002
10.500,10.484,0.002
10.600,10.586,0.002
10.700,10.687,0.002
10.800,10.786,0.002
10.900,10.887,0.000
11.000,10.984,0.000
11.100,11.082,0.002
11.200,11.182,0.000
11.300,11.277,0.002
11.400,11.376,0.000
11.500,11.475,0.002
11.600,11.567,0.002
11.700,11.666,0.002
11.800,11.760,0.000
11.900,11.860,0.002
12.000,11.959,0.002
12.100,12.052,0.002
12.200,12.150,0.002
12.300,12.247,0.002
12.400,12.347,0.000
12.500,12.451,0.002
12.600,12.555,0.000
12.700,12.655,0.002
12.800,12.760,0.000
12.900,12.861,0.002
13.000,12.962,0.000
13.100,13.065,0.002
13.200,13.164,0.002
13.300,13.264,0.002
13.400,13.365,0.002
13.500,13.462,0.002
13.600,13.565,0.002
13.700,13.662,0.002
13.800,13.764,0.000
13.900,13.862,0.002
14.000,13.959,0.002
14.100,14.060,0.002
14.200,14.157,0.002
14.300,14.259,0.002
14.400,14.360,0.000
14.500,14.456,0.002
14.600,14.557,0.002
14.700,14.659,0.002
14.800,14.744,0.002
14.900,14.849,0.000
15.000,14.959,0.002
15.100,15.060,0.002
15.200,15.165,0.002
15.300,15.264,0.002
15.400,15.367,0.000
15.500,15.467,0.002
15.600,15.564,0.002
15.700,15.667,0.002
15.800,15.766,0.002
15.900,15.864,0.002
16.000,15.967,0.002
16.100,16.065,0.000
16.200,16.166,0.002
16.300,16.269,0.002
16.400,16.366,0.002
16.500,16.467,0.002
16.600,16.564,0.000
16.700,16.663,0.002
16.800,16.761,0.000
16.900,16.859,0.002
17.000,16.961,0.000
17.100,17.065,0.002
17.200,17.163,0.002
17.300,17.266,0.002
17.400,17.368,0.002
17.500,17.461,0.002
17.600,17.560,0.002
17.700,17.651,0.002
17.800,17.745,0.002
17.900,17.840,0.002
Setting Voltage,INA VBUS Reading,INA Shunt Current
1.400,2.097,0.002
1.500,1.475,0.002
1.600,1.575,0.002
1.700,1.674,0.002
1.800,1.777,0.002
1.900,1.880,0.002
2.000,1.974,0.002
2.100,2.075,0.002
2.200,2.176,0.002
2.300,2.266,0.002
2.400,2.370,0.002
2.500,2.465,0.002
2.600,2.569,0.002
2.700,2.671,0.000
2.800,2.769,0.000
2.900,2.872,0.002
3.000,2.987,0.002
3.100,3.082,0.002
3.200,3.180,0.002
3.300,3.274,0.002
3.400,3.375,0.002
3.500,3.471,0.000
3.600,3.575,0.002
3.700,3.677,0.002
3.800,3.779,0.002
3.900,3.882,0.000
4.000,3.985,0.002
4.100,4.085,0.000
4.200,4.185,0.002
4.300,4.284,0.000
4.400,4.378,0.000
4.500,4.481,0.002
4.600,4.578,0.002
4.700,4.679,0.000
4.800,4.780,0.002
4.900,4.876,0.002
5.000,4.979,0.002
5.100,5.081,0.002
5.200,5.179,0.002
5.300,5.280,0.000
5.400,5.380,0.002
5.500,5.476,0.002
5.600,5.579,0.000
5.700,5.676,0.002
5.800,5.779,0.002
5.900,5.879,0.002
6.000,5.983,0.002
6.100,6.086,0.002
6.200,6.185,0.002
6.300,6.289,0.002
6.400,6.390,0.000
6.500,6.486,0.002
6.600,6.587,0.002
6.700,6.691,0.002
6.800,6.790,0.002
6.900,6.894,0.000
7.000,6.993,0.000
7.100,7.094,0.002
7.200,7.195,0.002
7.300,7.294,0.002
7.400,7.396,0.002
7.500,7.500,0.002
7.600,7.595,0.002
7.700,7.695,0.000
7.800,7.796,0.002
7.900,7.895,0.002
8.000,7.998,0.002
8.100,8.097,0.002
8.200,8.201,0.000
8.300,8.305,0.002
8.400,8.405,0.002
8.500,8.506,0.000
8.600,8.605,0.002
8.700,8.705,0.000
8.800,8.804,0.002
8.900,8.897,0.000
9.000,9.002,0.000
9.100,9.105,0.002
9.200,9.204,0.000
9.300,9.302,0.002
9.400,9.397,0.002
9.500,9.497,0.002
9.600,9.597,0.002
9.700,9.695,0.002
9.800,9.795,0.000
9.900,9.895,0.002
10.000,9.990,0.002
10.100,10.091,0.002
10.200,10.191,0.002
10.300,10.287,0.000
10.400,10.390,0.002
10.500,10.487,0.002
10.600,10.590,0.002
10.700,10.692,0.002
10.800,10.790,0.000
10.900,10.892,0.002
11.000,10.989,0.002
11.100,11.087,0.002
11.200,11.187,0.002
11.300,11.282,0.000
11.400,11.381,0.002
11.500,11.480,0.002
